Hotel Name,Attraction Places,Hotel Possible Error,Attraction Possible Error,,kerala,8
https://www.tripadvisor.in/Hotels-g608471-Alappuzha_Alappuzha_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g608471-Activities-Alappuzha_Alappuzha_District_Kerala.html,,,,Himacahal pradesh,4
https://www.tripadvisor.in/Hotels-g303881-Munnar_Idukki_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g303881-Activities-Munnar_Idukki_District_Kerala.html,,,,goa,1
https://www.tripadvisor.in/Hotels-g297633-Kochi_Cochin_Ernakulam_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g297633-Activities-Kochi_Cochin_Ernakulam_District_Kerala.html,,,,gujarat,10
https://www.tripadvisor.in/Hotels-g297636-Thekkady_Idukki_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g297636-Activities-Thekkady_Idukki_District_Kerala.html,,,,uttarakhand,8
https://www.tripadvisor.in/Hotels-g311295-Kovalam_Thiruvananthapuram_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g311295-Activities-Kovalam_Thiruvananthapuram_District_Kerala.html,,,,,
https://www.tripadvisor.in/Hotels-g297637-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g297637-Activities-Thiruvananthapuram_Trivandrum_Thiruvananthapuram_District_Kerala.html,,,,,
https://www.tripadvisor.in/Hotels-g777115-Kannur_Kannur_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g777115-Activities-Kannur_Kannur_District_Kerala.html,,,,,
https://www.tripadvisor.in/Hotels-g4053412-Ernakulam_Kochi_Cochin_Ernakulam_District_Kerala-Hotels.html,https://www.tripadvisor.in/Attractions-g4053412-Activities-Ernakulam_Kochi_Cochin_Ernakulam_District_Kerala.html,,,,,
https://www.tripadvisor.in/Hotels-g304552-Shimla_Shimla_District_Himachal_Pradesh-Hotels.html,https://www.tripadvisor.in/Attractions-g304552-Activities-Shimla_Shimla_District_Himachal_Pradesh.html,,,,West Bengal,5
https://www.tripadvisor.in/Hotels-g297618-Manali_Manali_Tehsil_Kullu_District_Himachal_Pradesh-Hotels.html,https://www.tripadvisor.in/Attractions-g297618-Activities-Manali_Manali_Tehsil_Kullu_District_Himachal_Pradesh.html,,,,Maharashtra,14
https://www.tripadvisor.in/Hotels-g503693-Dalhousie_Chamba_District_Himachal_Pradesh-Hotels.html,https://www.tripadvisor.in/Attractions-g503693-Activities-Dalhousie_Chamba_District_Himachal_Pradesh.html,,,,,
https://www.tripadvisor.in/Hotels-g319724-Dharamsala_Kangra_District_Himachal_Pradesh-Hotels.html,https://www.tripadvisor.in/Attractions-g319724-Activities-Dharamsala_Kangra_District_Himachal_Pradesh.html,,,,,
https://www.tripadvisor.in/Hotels-g297604-Goa-Hotels.html,https://www.tripadvisor.in/Attractions-g297604-Activities-Goa.html,,,,,
https://www.tripadvisor.in/Hotels-g303878-Bhuj_Kutch_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g303878-Activities-Bhuj_Kutch_District_Gujarat.html,,1,,,
https://www.tripadvisor.in/Hotels-g297612-Surat_Surat_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g297612-Activities-Surat_Surat_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g1156008-Saputara_Dangs_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g1156008-Activities-Saputara_Dangs_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g297608-Ahmedabad_Ahmedabad_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g297608-Activities-Ahmedabad_Ahmedabad_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g297613-Vadodara_Vadodara_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g297613-Activities-Vadodara_Vadodara_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g3382545-Kutch_Kutch_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g3382545-Activities-Kutch_Kutch_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g660181-Rajkot_Rajkot_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g660181-Activities-Rajkot_Rajkot_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g297610-Jamnagar_Jamnagar_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g297610-Activities-Jamnagar_Jamnagar_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g297609-Gandhinagar_Gandhinagar_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g297609-Activities-Gandhinagar_Gandhinagar_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g679050-Bhavnagar_Bhavnagar_District_Gujarat-Hotels.html,https://www.tripadvisor.in/Attractions-g679050-Activities-Bhavnagar_Bhavnagar_District_Gujarat.html,,,,,
https://www.tripadvisor.in/Hotels-g580106-Rishikesh_Dehradun_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g580106-Activities-Rishikesh_Dehradun_District_Uttarakhand.html,,,,,
https://www.tripadvisor.in/Hotels-g297687-Dehradun_Dehradun_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g297687-Activities-Dehradun_Dehradun_District_Uttarakhand.html,,,,,
https://www.tripadvisor.in/Hotels-g660548-Nainital_Nainital_District_Uttarakhand-Hotels.html,https://www.tripadvisor.in/Attractions-g660548-Activities-Nainital_Nainital_District_Uttarakhand.html,,,,,
